День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
19.08.2026,Закат на море,5779888441,Автотаргетинг,,-,0,-,0,яхта elegance 65,Целевые запросы,Запросы без упоминания брендов,-,,1917466423210544416,Активные,Комбинаторное,"Закат для двоих, от 2 часов. Сириус","Закат с Имеретинского порта, 18:00–20:00. Яхта целиком",https://boat-sochi.ru?utm_term=zakat_my#zakat,http://direct.yandex.ru/images/direct/4457791/v20upKjtoDAerThkcp2MDQ,закат 2.jpg,-,-,Текстово-графический,Оригинальный,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Женский,25-34 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,2.57,0.00,257.11,1.00,-
19.08.2026,Закат на море,5779888441,Автотаргетинг,,-,0,-,0,яхта в северодвинске,Целевые запросы,Запросы без упоминания брендов,-,,1917567555731541131,Активные,Комбинаторное,Яхта целиком на закат. Сириус,"Закат с Имеретинского порта, 18:00–20:00. Яхта целиком",https://boat-sochi.ru?utm_term=zakat_ai#zakat,http://direct.yandex.ru/images/direct/4866625/pT1pWjlCvdR8D5wUImCOUA,закат 1 (1).jpg,-,-,Текстово-графический,Оригинальный,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Женский,Не определен,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.40,0.00,39.83,1.00,-
20.08.2026,Закат на море,5779888441,Фраза,закат на яхте адлер -аренда,-,0,-,0,яхта на закате адлер,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1917567555731541131,Активные,Комбинаторное,Яхта целиком на закат. Сириус,"Закат короткий. Бронируйте заранее. Для двоих, вся яхта. Музыка, Wi-Fi",https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,1,1,0,0.00,-,100.00,0.00,0.84,118.38,84.47,2.00,2.00
20.08.2026,Закат на море,5779888441,Автотаргетинг,,-,0,-,0,аренда катера в адлере,Целевые запросы,Запросы без упоминания брендов,-,,1917567555731541131,Активные,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.17,0.00,17.32,6.00,-
20.08.2026,Закат на море,5779888441,Автотаргетинг,,-,0,-,0,где в адлере можно арендовать катер с капитаном,Целевые запросы,Запросы без упоминания брендов,-,,1917466423210544416,Активные,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,0.32,0.00,31.86,5.00,-
20.08.2026,Закат на море,5779888441,Автотаргетинг,,-,0,-,0,морская прогулка имеретинский порт сириус,Целевые запросы,Запросы без упоминания брендов,-,,1917466423210544416,Активные,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,2,0,0,-,-,0.00,-,1.52,0.00,76.03,1.00,-
20.08.2026,Закат на море,5779888441,Автотаргетинг,,-,0,-,0,морская прогулка сириус,Целевые запросы,Запросы без упоминания брендов,-,,1917567555731541131,Активные,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Десктопы,Не определён,Wi-Fi,Женский,25-34 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,0.66,0.00,66.46,2.00,-
20.08.2026,Закат на море,5779888441,Автотаргетинг,,-,0,-,0,морская рыбалка сириус,Целевые запросы,Запросы без упоминания брендов,-,,1917466423210544416,Активные,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.62,0.00,61.86,2.00,-
20.08.2026,Закат на море,5779888441,Автотаргетинг,,-,0,-,0,морские прогулки сириус,Целевые запросы,Запросы без упоминания брендов,-,,1917567555731541131,Активные,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Мобильная связь,Мужской,35-44 года,Топ 1%,Не определено,0.00,1,0,0,-,-,0.00,-,0.41,0.00,41.09,3.00,-
20.08.2026,Закат на море,5779888441,Автотаргетинг,,-,0,-,0,покататься на яхте катере сочи вдвоем,Целевые запросы,Запросы без упоминания брендов,-,,1917466423210544416,Активные,Комбинаторное,"Вечерняя прогулка, яхта только для вас",Яхта целиком с 18:00. Для двоих и компании. От 2 часов,https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.69,0.00,69.09,4.00,-
